title,genre
The Princess Bride,Romance
The Princess Bride,Humor
A Thousand Splendid Suns,Fiction
A Thousand Splendid Suns,Historical
A Thousand Splendid Suns,Novels
A Thousand Splendid Suns,Historical
A Thousand Splendid Suns,War
The Secret Garden,Classics
The Secret Garden,Fiction
The Secret Garden,Childrens
The Secret Garden,Historical
The Secret Garden,Childrens
A Game of Thrones,Fantasy
A Game of Thrones,Fiction
A Game of Thrones,Fantasy
A Game of Thrones,Adult
A Game of Thrones,Fantasy
A Wrinkle in Time,Fantasy
A Wrinkle in Time,Fiction
A Wrinkle in Time,Classics
A Wrinkle in Time,Childrens
A Wrinkle in Time,Childrens
The Outsiders,Classics
The Outsiders,Fiction
The Outsiders,Academic
The Outsiders,School
The Outsiders,Academic
The Adventures of Huckleberry Finn,Classics
The Adventures of Huckleberry Finn,Fiction
The Adventures of Huckleberry Finn,Historical
The Adventures of Huckleberry Finn,Literature
The Adventures of Huckleberry Finn,Adventure
The Lovely Bones,Fiction
The Lovely Bones,Mystery
The Lovely Bones,Fantasy
The Lovely Bones,Mystery
The Lovely Bones,Crime
Where the Wild Things Are,Childrens
Where the Wild Things Are,Childrens
Where the Wild Things Are,Fiction
Where the Wild Things Are,Classics
Where the Wild Things Are,Fantasy
The Odyssey,Classics
The Odyssey,Fiction
The Odyssey,Poetry
The Odyssey,Fantasy
The Odyssey,Mythology
Green Eggs and Ham,Childrens
Green Eggs and Ham,Childrens
Green Eggs and Ham,Classics
Green Eggs and Ham,Fiction
Green Eggs and Ham,Poetry
Life of Pi,Fiction
Life of Pi,Fantasy
Life of Pi,Classics
Life of Pi,Adventure
Life of Pi,Novels
A Tale of Two Cities,Classics
A Tale of Two Cities,Fiction
A Tale of Two Cities,Historical
A Tale of Two Cities,Literature
A Tale of Two Cities,Historical
Water for Elephants,Fiction
Water for Elephants,Historical
Water for Elephants,Romance
Water for Elephants,Historical
Water for Elephants,Adult
Lolita,Classics
Lolita,Fiction
Lolita,Literature
Lolita,Novels
Lolita,Cultural
The Kite Runner,Fiction
The Kite Runner,Historical
The Kite Runner,Classics
The Kite Runner,Novels
The Kite Runner,Historical
Frankenstein: The 1818 Text,Classics
Frankenstein: The 1818 Text,Fiction
Frankenstein: The 1818 Text,Horror
Frankenstein: The 1818 Text,Gothic
Frankenstein: The 1818 Text,Fantasy
Slaughterhouse-Five,Classics
Slaughterhouse-Five,Fiction
Slaughterhouse-Five,War
Slaughterhouse-Five,Historical
Slaughterhouse-Five,Literature
The Handmaid's Tale,Fiction
The Handmaid's Tale,Classics
The Handmaid's Tale,Dystopia
The Handmaid's Tale,Feminism
The Handmaid's Tale,Fantasy
The Giver,Fiction
The Giver,Classics
The Giver,Dystopia
The Giver,Fantasy
The Giver,Academic
Dune,Fiction
Dune,Fantasy
Dune,Classics
Dune,Audiobook
Dune,Space
